gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s),delta_x,delta_y,delta_z,delta_vx,delta_vy,delta_vz
-2.707016351506887469e+06,4.688709374620406888e+06,3.360429333207319956e+06,3.430344791388428849e-02,-9.390311739531274071e-01,-2.208509710106230928e-02,-7.629664510954171419e+00,3.005374246276915073e+00,-4.447842971887439489e+00,-5.783789153573723474e-02,4.613218912845185038e-02,-7.293462411326454009e-02
-2.706999667178365868e+06,4.688707215149588883e+06,3.360437357876614202e+06,4.550892399844601310e-02,-9.989429802796001567e-01,1.269503046172713034e-01,1.668432852160185575e+01,-2.159470818005502224e+00,8.024669294245541096e+00,1.120547608456172461e-02,-5.991180632647274962e-02,1.490354017183336266e-01
-2.707004958496936131e+06,4.688702379218629561e+06,3.360423635690910742e+06,6.378346955503851057e-02,-9.949115166093365215e-01,-1.249318194516741906e-02,-5.291318570263683796e+00,-4.835930959321558475e+00,-1.372218570346012712e+01,1.827454555659249746e-02,4.031463670263635279e-03,-1.394434865624387121e-01
-2.707013441585013643e+06,4.688696901138023473e+06,3.360414931582195219e+06,-3.789993662435514610e-02,-9.513300487395687233e-01,1.166322365158105855e-02,-8.483088077511638403e+00,-5.478080606088042259e+00,-8.704108715523034334e+00,-1.016834061793936567e-01,4.358146786976779818e-02,2.415640559674847587e-02
-2.707013656443808228e+06,4.688699585381768644e+06,3.360431975717307068e+06,4.542111760234003072e-03,-1.013313010992402674e+00,3.085867494830089180e-02,-2.148587945848703384e-01,2.684243745170533657e+00,1.704413511184975505e+01,4.244204838458914830e-02,-6.198296225283395078e-02,1.919545129671983152e-02
-2.707019205061249435e+06,4.688700012111188844e+06,3.360443882783347275e+06,2.271512987074590650e-01,-9.168054032270465115e-01,8.028721593191999462e-02,-5.548617441207170486e+00,4.267294201999902725e-01,1.190706604020670056e+01,2.226091869472250628e-01,9.650760776535616259e-02,4.942854098361910281e-02
-2.707005977777319960e+06,4.688695075006804429e+06,3.360435158999143634e+06,6.827126970836471243e-01,-6.743643075245953078e-01,1.997361501536060874e-02,1.322728392947465181e+01,-4.937104384414851665e+00,-8.723784203641116619e+00,4.555613983761880315e-01,2.424410957024512037e-01,-6.031360091655938588e-02
-2.707005871034604032e+06,4.688692797909479588e+06,3.360435731913749594e+06,9.719367581418099089e-01,-3.488778476627534264e-01,-2.585747326750971117e-03,1.067427159287035465e-01,-2.277097324840724468e+00,5.729146059602499008e-01,2.892240610581627847e-01,3.254864598618418814e-01,-2.255936234211158159e-02
-2.707006207552605309e+06,4.688697127675187774e+06,3.360429469462564215e+06,9.266065812876208563e-01,-3.540117680316564597e-01,3.281625509927036527e-02,-3.365180012769997120e-01,4.329765708185732365e+00,-6.262451185379177332e+00,-4.533017685418905263e-02,-5.133920368903033271e-03,3.540200242602133812e-02
-2.707004295673438348e+06,4.688698400535492226e+06,3.360433078710736241e+06,1.002315306068600087e+00,-1.179387615617888546e-01,-1.830531439765350696e-02,1.911879166960716248e+00,1.272860304452478886e+00,3.609248172026127577e+00,7.570872478097923075e-02,2.360730064698676189e-01,-5.112156949692386876e-02
